date,77491_32247,77495_32247,77500_32247,77500_32252,77504_32234,77504_32238,77504_32243,77504_32247,77504_32252,77509_32238,77509_32243,77509_32247,77509_32252,77513_32243,77513_32247,77513_32252,77513_32256,77513_32261,77518_32252,77518_32256,77518_32261,77518_32265,77522_32234,77522_32238,77522_32256,77522_32261,77522_32265,77522_32270,77527_32234,77527_32238,77527_32243,77527_32247,77527_32265,77527_32270,77527_32274,77527_32279,77527_32283,77531_32234,77531_32238,77531_32243,77531_32247,77531_32252,77531_32256,77531_32261,77531_32265,77531_32270,77531_32274,77531_32279,77531_32283,77531_32288,77536_32234,77536_32247,77536_32252,77536_32256,77536_32261,77536_32265,77536_32270,77536_32274,77536_32279,77536_32283,77536_32288,77540_32229,77540_32234,77540_32270,77540_32274,77540_32279,77540_32283,77540_32288,77545_32274,.geo
2021_05_20,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_21,69,69,69,70,-11000,-11000,70,70,70,-11000,76,74,70,76,74,74,71,75,63,71,73,77,-11000,61,63,73,77,78,55,-11000,57,57,75,75,77,76,14,49,55,56,57,49,53,64,75,60,72,72,54,18,49,62,49,53,53,53,43,64,72,54,18,-11000,49,43,43,72,54,18,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_22,72,72,72,72,75,78,75,75,72,78,72,72,72,72,72,78,75,75,74,75,65,65,68,78,70,65,65,63,68,68,77,77,42,42,26,52,0,75,68,73,77,77,73,68,42,42,26,52,24,0,75,76,77,73,68,42,65,58,50,24,0,63,75,65,58,56,31,10,71,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_23,-11000,73,73,-11000,73,75,74,73,-11000,75,74,-11000,-11000,78,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,61,71,-11000,75,70,-11000,61,54,67,-11000,70,61,59,63,28,61,59,48,-11000,60,69,69,70,59,59,58,38,20,61,57,60,-11000,66,66,59,62,54,38,20,-11000,-11000,59,62,54,54,43,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_24,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_25,79,81,81,81,79,82,80,82,79,82,78,82,79,85,82,82,81,79,80,81,76,79,72,82,74,83,70,70,64,59,85,78,79,70,66,44,44,62,67,72,78,77,77,83,79,70,58,38,0,0,62,77,77,68,82,80,79,82,63,0,10,74,68,79,67,67,45,10,70,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_26,67,68,68,72,70,70,70,70,72,63,70,70,72,70,70,72,71,71,71,71,71,69,65,63,71,69,69,69,59,59,59,63,69,69,66,63,0,53,59,63,63,63,58,69,69,66,66,64,51,0,53,62,63,58,69,66,66,68,51,51,32,53,53,66,64,51,51,32,64,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_27,77,80,80,82,83,82,85,82,82,85,82,78,82,75,86,86,85,79,86,85,79,72,64,81,71,71,64,53,64,53,85,76,45,45,60,36,0,61,66,74,76,67,79,74,45,57,18,36,12,0,61,73,67,70,74,65,62,58,43,12,0,59,74,62,71,43,22,22,65,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_28,81,81,81,84,80,86,79,81,84,86,85,85,84,85,85,84,83,83,82,83,78,82,70,86,69,78,82,74,70,60,60,64,69,74,76,52,34,68,67,63,64,64,69,69,69,62,63,34,34,0,68,63,64,60,69,69,62,63,34,34,0,68,68,62,-11000,-11000,50,0,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_29,81,83,83,83,85,86,83,88,81,84,77,88,81,77,89,87,87,81,71,87,73,61,67,87,73,58,61,63,65,77,77,85,58,23,12,38,0,65,78,76,85,78,69,58,58,23,12,0,0,0,65,76,78,76,68,54,54,43,0,0,0,73,73,54,43,37,0,0,71,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_30,-11000,-11000,-11000,-11000,-11000,40,-11000,-11000,-11000,40,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,44,0,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,27,44,19,0,-11000,-11000,-11000,-11000,-11000,-11000,-11000,27,19,19,0,-11000,-11000,-11000,13,45,19,0,13,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_31,70,81,81,81,50,69,72,81,81,69,72,81,81,75,80,78,78,74,78,78,74,74,65,75,78,55,38,38,55,61,61,45,38,38,43,19,0,55,61,61,45,52,52,55,38,33,13,19,0,0,55,71,52,66,38,33,33,13,19,0,0,47,47,33,13,36,11,0,24,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_06_01,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_06_02,72,72,72,70,75,75,72,72,70,75,61,72,70,61,61,72,72,64,72,72,53,53,57,57,66,53,53,39,49,57,55,55,43,41,41,28,0,49,49,56,55,62,66,43,43,48,48,28,0,0,49,61,62,61,43,42,48,48,0,0,0,64,53,48,46,0,24,0,46,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
